route,stop_distance_km,day_of_week,time_of_day,traffic_condition,weather,special_event,temperature_celsius,delay_minutes,arrival_status
Al Hamra Link,5.8,Friday,9.7,High,Clear,None,36.6,15.6,Late
Grove Village Route,4.78,Tuesday,14.6,Medium,Clear,None,39.6,4.9,On-Time
RAK City Express,10.52,Saturday,14.6,Medium,Clear,None,34.3,8.2,Late
Campus Loop,3.05,Wednesday,10.5,Medium,Clear,None,33.5,7.1,Late
Al Hamra Link,9.75,Wednesday,10.0,Medium,Clear,None,30.9,8.9,Late
Grove Village Route,6.76,Monday,14.2,Medium,Cloudy,None,41.2,9.8,Late
RAK City Express,8.5,Friday,8.7,High,Cloudy,None,30.7,11.5,Late
Grove Village Route,3.43,Wednesday,10.5,Medium,Rainy,None,27.5,13.1,Late
Campus Loop,1.73,Wednesday,11.5,Medium,Cloudy,Sports Match,26.5,14.8,Late
Al Hamra Link,6.76,Monday,8.3,High,Cloudy,None,29.3,20.7,Late
RAK City Express,7.53,Thursday,18.6,Medium,Clear,None,40.2,9.1,Late
Grove Village Route,4.73,Monday,20.9,Medium,Cloudy,None,32.2,6.1,Late
Al Hamra Link,9.62,Thursday,20.2,Medium,Clear,None,36.3,11.1,Late
RAK City Express,10.34,Tuesday,13.8,Medium,Cloudy,Sports Match,32.0,13.0,Late
Grove Village Route,2.55,Thursday,17.0,High,Clear,None,24.5,17.1,Late
RAK City Express,5.67,Friday,10.2,Low,Cloudy,None,28.2,2.2,On-Time
Grove Village Route,2.14,Friday,9.3,High,Cloudy,None,29.9,16.5,Late
RAK City Express,10.99,Tuesday,21.1,Low,Clear,None,36.6,3.4,On-Time
Grove Village Route,5.41,Wednesday,8.2,High,Clear,None,25.8,14.8,Late
Grove Village Route,2.55,Wednesday,11.1,Medium,Clear,None,24.8,6.8,Late
Campus Loop,3.46,Tuesday,11.6,Low,Clear,None,34.0,4.4,On-Time
Campus Loop,3.84,Wednesday,18.4,High,Clear,None,24.2,17.0,Late
Al Hamra Link,9.89,Tuesday,13.6,Medium,Clear,None,38.2,6.3,Late
RAK City Express,6.88,Monday,15.6,Medium,Clear,None,30.7,7.3,Late
Grove Village Route,3.5,Thursday,21.0,Low,Foggy,None,38.8,8.1,Late
Campus Loop,3.39,Friday,11.7,Low,Foggy,None,37.2,9.9,Late
RAK City Express,13.63,Sunday,12.6,Medium,Cloudy,University Exam,25.8,14.4,Late
Campus Loop,2.67,Tuesday,20.6,Low,Cloudy,None,32.3,4.2,On-Time
Grove Village Route,6.33,Monday,13.2,Medium,Clear,None,25.4,7.5,Late
Grove Village Route,3.94,Friday,12.3,Medium,Clear,None,31.8,7.5,Late
Al Hamra Link,5.66,Saturday,15.1,Medium,Dusty,None,31.9,9.5,Late
Campus Loop,2.42,Wednesday,21.9,Low,Clear,None,38.5,2.0,On-Time
Al Hamra Link,7.0,Tuesday,15.8,Medium,Clear,University Exam,30.1,14.5,Late
Campus Loop,1.52,Wednesday,15.6,Medium,Clear,None,33.3,6.7,Late
Grove Village Route,3.77,Thursday,18.9,High,Cloudy,Sports Match,37.3,25.4,Late
Campus Loop,1.23,Sunday,7.9,Medium,Clear,None,35.0,3.1,On-Time
Grove Village Route,5.76,Sunday,12.5,Medium,Cloudy,None,24.8,5.2,Late
RAK City Express,13.12,Saturday,11.3,Medium,Foggy,None,27.0,15.3,Late
RAK City Express,14.85,Wednesday,9.5,Medium,Cloudy,Sports Match,28.4,15.8,Late
Al Hamra Link,9.33,Tuesday,11.1,Low,Clear,None,42.0,5.2,Late
Al Hamra Link,5.93,Wednesday,10.5,Medium,Dusty,None,26.6,9.8,Late
Grove Village Route,2.1,Monday,14.4,Medium,Clear,None,31.1,7.3,Late
RAK City Express,14.54,Monday,21.1,Low,Clear,Career Fair,28.6,13.0,Late
Campus Loop,2.03,Friday,13.5,Medium,Dusty,None,41.3,7.4,Late
RAK City Express,10.37,Saturday,13.4,Medium,Clear,None,32.5,7.1,Late
Al Hamra Link,6.8,Sunday,12.4,Medium,Clear,None,31.8,8.3,Late
Campus Loop,3.86,Wednesday,13.8,High,Rainy,Open Day,25.5,24.4,Late
Al Hamra Link,8.53,Saturday,21.3,Low,Dusty,None,29.3,7.0,Late
Al Hamra Link,6.36,Sunday,7.9,Low,Cloudy,Open Day,35.1,6.3,Late
Al Hamra Link,8.71,Monday,8.3,High,Cloudy,None,40.1,18.0,Late
Grove Village Route,5.13,Monday,13.5,Medium,Foggy,None,38.5,11.3,Late
Campus Loop,3.48,Tuesday,9.7,High,Clear,None,32.0,17.1,Late
Al Hamra Link,8.58,Wednesday,11.8,Medium,Cloudy,None,28.6,5.5,Late
Campus Loop,3.36,Wednesday,14.4,Low,Foggy,Open Day,24.2,17.3,Late
Al Hamra Link,7.54,Wednesday,11.0,Medium,Clear,None,32.6,8.9,Late
Al Hamra Link,4.81,Saturday,7.6,Medium,Clear,None,26.9,5.6,Late
Campus Loop,2.07,Friday,19.7,Medium,Clear,Career Fair,33.9,16.6,Late
RAK City Express,5.71,Wednesday,18.1,High,Clear,University Exam,41.8,25.2,Late
RAK City Express,8.98,Tuesday,9.3,High,Clear,None,37.1,11.8,Late
Al Hamra Link,5.42,Tuesday,19.8,Medium,Dusty,None,28.6,11.8,Late
RAK City Express,13.72,Saturday,11.0,Medium,Cloudy,None,30.3,11.3,Late
Campus Loop,2.76,Saturday,16.5,Medium,Clear,None,40.4,5.2,Late
RAK City Express,5.61,Saturday,19.3,Medium,Cloudy,None,40.4,6.4,Late
Campus Loop,3.51,Sunday,8.5,High,Clear,Career Fair,37.1,16.9,Late
Grove Village Route,4.12,Thursday,19.3,Medium,Clear,None,34.9,5.5,Late
Al Hamra Link,4.07,Sunday,14.4,Medium,Clear,None,41.8,6.9,Late
Campus Loop,3.95,Monday,10.9,Medium,Cloudy,Sports Match,31.8,9.0,Late
Campus Loop,3.19,Monday,21.8,Low,Cloudy,None,30.7,1.1,On-Time
Campus Loop,0.61,Saturday,7.6,Medium,Clear,University Exam,24.7,12.5,Late
Al Hamra Link,4.44,Thursday,10.3,Medium,Clear,Open Day,37.0,14.4,Late
Campus Loop,0.76,Sunday,8.7,Medium,Clear,Open Day,28.6,14.3,Late
RAK City Express,5.97,Monday,15.0,Low,Clear,None,41.2,5.2,Late
Grove Village Route,2.62,Sunday,21.6,Low,Clear,None,28.9,1.6,On-Time
RAK City Express,14.38,Sunday,15.5,Medium,Cloudy,None,37.9,7.9,Late
Grove Village Route,5.96,Monday,21.1,Low,Dusty,None,36.2,7.4,Late
Campus Loop,0.74,Wednesday,20.3,Low,Clear,None,39.8,1.0,On-Time
Campus Loop,0.91,Friday,8.6,High,Cloudy,Open Day,36.9,16.8,Late
Campus Loop,2.76,Sunday,15.4,Medium,Cloudy,None,27.7,4.2,On-Time
RAK City Express,13.52,Wednesday,10.3,Medium,Dusty,None,37.4,13.7,Late
Campus Loop,3.5,Wednesday,17.5,High,Rainy,None,30.3,20.9,Late
RAK City Express,5.75,Friday,14.9,Low,Clear,None,40.0,4.6,On-Time
Campus Loop,3.68,Tuesday,14.4,Medium,Cloudy,None,30.4,7.7,Late
Campus Loop,3.56,Sunday,12.5,Medium,Foggy,Open Day,28.2,22.7,Late
Grove Village Route,4.63,Saturday,10.4,Medium,Cloudy,None,24.1,5.3,Late
Campus Loop,1.99,Monday,9.9,Medium,Cloudy,None,41.8,6.5,Late
Grove Village Route,4.22,Tuesday,18.7,High,Clear,None,33.5,11.0,Late
RAK City Express,12.55,Sunday,12.9,Medium,Clear,None,35.1,9.3,Late
Campus Loop,3.07,Friday,21.0,Low,Clear,None,26.7,2.3,On-Time
Grove Village Route,4.13,Tuesday,18.5,High,Clear,None,32.5,9.7,Late
Grove Village Route,3.79,Sunday,9.8,High,Cloudy,None,33.1,14.9,Late
Al Hamra Link,7.16,Tuesday,17.4,High,Cloudy,None,33.0,16.1,Late
RAK City Express,6.4,Monday,17.7,High,Dusty,None,24.5,21.9,Late
RAK City Express,5.48,Thursday,20.4,Low,Dusty,None,29.6,5.9,Late
Campus Loop,2.65,Thursday,18.8,Medium,Clear,None,26.0,10.2,Late
Grove Village Route,4.32,Wednesday,14.0,Medium,Clear,None,39.4,5.7,Late
Al Hamra Link,8.94,Thursday,17.1,High,Clear,None,34.0,14.3,Late
Grove Village Route,4.5,Sunday,18.8,High,Cloudy,None,25.7,17.1,Late
Campus Loop,1.56,Tuesday,14.5,Medium,Dusty,None,26.3,8.5,Late
Al Hamra Link,4.5,Wednesday,15.3,Medium,Cloudy,None,33.8,4.8,On-Time
Campus Loop,3.48,Tuesday,9.2,High,Rainy,Open Day,29.8,28.8,Late
RAK City Express,14.69,Sunday,19.6,Medium,Clear,None,25.4,10.3,Late
Campus Loop,1.86,Tuesday,19.0,Low,Clear,University Exam,35.7,12.7,Late
Grove Village Route,4.17,Monday,21.1,Low,Cloudy,None,27.9,2.5,On-Time
Al Hamra Link,4.87,Wednesday,8.4,High,Rainy,None,29.0,21.9,Late
RAK City Express,10.15,Thursday,11.6,Medium,Cloudy,None,31.8,5.6,Late
RAK City Express,14.22,Tuesday,7.8,Medium,Clear,None,41.8,9.6,Late
Al Hamra Link,4.23,Wednesday,11.7,Medium,Rainy,None,33.1,16.2,Late
RAK City Express,8.99,Thursday,14.0,Medium,Clear,None,28.4,5.1,Late
Campus Loop,1.73,Tuesday,13.8,High,Cloudy,None,31.1,13.5,Late
Al Hamra Link,8.18,Wednesday,16.5,Medium,Cloudy,Sports Match,27.6,14.0,Late
Campus Loop,0.56,Tuesday,13.5,Medium,Dusty,None,37.6,6.2,Late
RAK City Express,11.42,Friday,7.9,Medium,Clear,None,38.4,8.1,Late
RAK City Express,8.55,Tuesday,20.9,Low,Clear,None,34.4,6.0,Late
Campus Loop,2.79,Wednesday,19.5,Medium,Clear,None,36.7,4.4,On-Time
Campus Loop,3.92,Sunday,11.8,Medium,Clear,Career Fair,32.9,15.1,Late
Al Hamra Link,9.72,Sunday,15.4,Medium,Clear,None,31.4,5.3,Late
Grove Village Route,2.97,Tuesday,13.5,Medium,Clear,None,39.7,5.7,Late
RAK City Express,13.37,Friday,13.4,Medium,Rainy,Sports Match,29.9,19.6,Late
Campus Loop,3.99,Saturday,11.8,Medium,Clear,University Exam,40.5,9.2,Late
RAK City Express,13.42,Tuesday,12.0,Medium,Clear,Open Day,39.2,18.7,Late
RAK City Express,14.49,Thursday,7.8,Low,Clear,None,32.0,5.7,Late
Grove Village Route,4.14,Saturday,20.6,Low,Cloudy,None,36.9,2.6,On-Time
RAK City Express,6.42,Saturday,20.8,Low,Clear,None,34.1,2.3,On-Time
RAK City Express,7.02,Wednesday,13.6,Medium,Cloudy,University Exam,36.5,10.3,Late
RAK City Express,8.99,Tuesday,8.8,Medium,Cloudy,None,29.2,7.9,Late
Al Hamra Link,6.48,Friday,15.4,Low,Clear,None,41.1,5.1,Late
Al Hamra Link,5.46,Monday,20.8,Low,Clear,Sports Match,37.9,12.9,Late
RAK City Express,9.62,Sunday,13.1,Medium,Clear,University Exam,41.9,14.0,Late
Grove Village Route,6.24,Sunday,15.7,Low,Dusty,University Exam,33.1,15.5,Late
RAK City Express,14.33,Saturday,7.0,Medium,Clear,None,24.4,11.8,Late
Al Hamra Link,5.42,Tuesday,18.0,High,Cloudy,None,33.3,17.7,Late
Campus Loop,1.62,Friday,15.5,Medium,Clear,None,40.6,3.2,On-Time
RAK City Express,12.37,Wednesday,11.9,Medium,Foggy,None,41.6,11.2,Late
Al Hamra Link,4.08,Sunday,19.1,Medium,Rainy,None,29.3,12.6,Late
RAK City Express,6.14,Monday,10.5,Medium,Foggy,None,25.0,12.9,Late
Al Hamra Link,7.35,Sunday,7.5,Medium,Clear,Career Fair,41.3,13.2,Late
Al Hamra Link,6.42,Saturday,9.3,High,Clear,None,37.0,16.0,Late
Campus Loop,3.88,Monday,7.8,Low,Foggy,None,30.5,9.4,Late
Al Hamra Link,6.62,Monday,12.9,High,Rainy,None,32.6,17.0,Late
Campus Loop,2.38,Monday,13.1,Medium,Cloudy,None,32.2,6.7,Late
RAK City Express,13.55,Sunday,15.4,Medium,Clear,None,39.9,4.7,On-Time
Al Hamra Link,7.13,Saturday,18.5,High,Clear,None,38.3,18.9,Late
RAK City Express,8.62,Saturday,7.6,Medium,Clear,None,38.1,8.1,Late
Campus Loop,3.23,Wednesday,13.7,Medium,Clear,None,34.6,5.0,On-Time
Campus Loop,2.24,Monday,8.3,High,Clear,None,27.5,14.7,Late
Al Hamra Link,7.7,Thursday,16.5,Medium,Clear,Career Fair,29.3,12.5,Late
Grove Village Route,5.47,Monday,20.0,Medium,Clear,None,32.0,7.9,Late
Grove Village Route,4.73,Thursday,19.0,Medium,Clear,None,27.9,3.1,On-Time
RAK City Express,14.71,Sunday,20.4,Low,Clear,None,38.8,5.8,Late
Campus Loop,2.72,Thursday,9.3,Medium,Clear,None,36.4,5.8,Late
Al Hamra Link,5.23,Sunday,9.2,High,Clear,None,39.8,14.9,Late
Campus Loop,3.77,Wednesday,13.1,Medium,Cloudy,None,40.2,4.6,On-Time
RAK City Express,9.19,Monday,16.8,Medium,Foggy,None,31.5,15.4,Late
Al Hamra Link,8.72,Tuesday,17.8,High,Clear,Sports Match,32.6,26.0,Late
RAK City Express,13.53,Sunday,11.9,Low,Clear,None,38.2,4.3,On-Time
Campus Loop,3.63,Sunday,13.3,High,Clear,University Exam,35.1,14.1,Late
Al Hamra Link,8.37,Thursday,8.4,High,Cloudy,None,40.0,16.2,Late
RAK City Express,10.62,Friday,11.7,Medium,Cloudy,None,24.8,7.2,Late
Campus Loop,1.32,Tuesday,8.8,High,Foggy,None,37.3,29.4,Late
Al Hamra Link,5.48,Sunday,21.9,Low,Clear,None,26.8,4.2,On-Time
RAK City Express,13.11,Thursday,7.6,Low,Clear,None,39.7,4.2,On-Time
Al Hamra Link,8.7,Saturday,14.8,Medium,Dusty,None,30.6,12.9,Late
Al Hamra Link,6.12,Saturday,9.5,High,Clear,None,32.9,18.1,Late
Grove Village Route,3.27,Thursday,7.3,Medium,Clear,None,34.6,5.2,Late
Al Hamra Link,7.65,Monday,20.2,Low,Dusty,None,39.4,7.4,Late
Al Hamra Link,7.03,Saturday,10.6,Medium,Dusty,None,28.1,10.4,Late
RAK City Express,14.97,Sunday,19.6,Medium,Dusty,Open Day,32.5,27.1,Late
Grove Village Route,2.48,Saturday,9.2,Medium,Clear,None,32.3,6.0,Late
Al Hamra Link,5.52,Friday,9.7,High,Clear,None,35.1,14.7,Late
Al Hamra Link,4.46,Wednesday,8.7,High,Clear,None,31.4,19.1,Late
Campus Loop,1.25,Friday,16.0,Low,Foggy,None,33.7,13.6,Late
Grove Village Route,4.18,Sunday,7.5,Medium,Clear,Sports Match,38.0,16.5,Late
Al Hamra Link,7.73,Sunday,20.5,Low,Dusty,None,35.0,6.2,Late
Al Hamra Link,8.94,Thursday,9.6,High,Clear,Open Day,32.7,20.4,Late
Campus Loop,2.64,Wednesday,16.6,Medium,Clear,None,40.0,9.1,Late
RAK City Express,7.33,Tuesday,20.1,Low,Cloudy,None,31.8,4.0,On-Time
RAK City Express,7.33,Monday,17.9,High,Foggy,None,39.9,31.0,Late
RAK City Express,13.64,Monday,19.7,Medium,Clear,None,37.7,9.0,Late
Grove Village Route,6.12,Monday,7.6,Medium,Clear,Career Fair,25.6,16.5,Late
RAK City Express,14.75,Friday,11.0,Medium,Rainy,University Exam,39.9,23.6,Late
Grove Village Route,5.08,Monday,9.8,High,Clear,None,34.4,14.5,Late
Campus Loop,1.83,Sunday,10.8,Medium,Clear,None,32.3,5.9,Late
RAK City Express,5.86,Saturday,20.9,Low,Dusty,None,27.8,6.8,Late
Campus Loop,3.71,Wednesday,19.7,Low,Clear,None,29.1,1.1,On-Time
Campus Loop,3.73,Wednesday,18.0,High,Cloudy,None,32.2,19.2,Late
Grove Village Route,3.73,Monday,9.0,High,Cloudy,None,32.9,20.0,Late
RAK City Express,10.85,Saturday,15.6,Medium,Clear,None,28.2,8.1,Late
RAK City Express,11.61,Monday,18.9,High,Clear,None,25.0,12.1,Late
Campus Loop,2.79,Wednesday,17.8,High,Clear,None,32.1,12.6,Late
Al Hamra Link,6.18,Monday,17.9,High,Clear,None,39.1,12.0,Late
Al Hamra Link,5.72,Friday,17.0,High,Clear,University Exam,34.7,31.3,Late
Campus Loop,1.49,Sunday,9.9,Medium,Rainy,None,40.8,15.0,Late
Campus Loop,1.63,Monday,7.4,Medium,Cloudy,None,26.1,4.6,On-Time
Al Hamra Link,7.21,Wednesday,21.7,Medium,Clear,None,30.0,7.0,Late
Grove Village Route,2.93,Thursday,20.7,Medium,Foggy,None,27.5,14.5,Late
Al Hamra Link,7.15,Monday,10.3,Medium,Clear,None,31.4,7.1,Late
Grove Village Route,6.88,Thursday,10.6,Medium,Clear,None,37.2,6.6,Late
Campus Loop,2.24,Monday,20.3,Low,Clear,None,24.9,3.8,On-Time
RAK City Express,11.56,Tuesday,19.4,Medium,Rainy,Career Fair,36.8,30.1,Late
Campus Loop,3.07,Tuesday,20.0,Medium,Dusty,None,35.0,10.9,Late
Campus Loop,2.08,Monday,10.5,Medium,Clear,None,28.1,3.0,On-Time
Grove Village Route,5.66,Wednesday,7.6,Medium,Foggy,None,29.4,15.8,Late
Grove Village Route,6.12,Saturday,14.7,Low,Clear,None,38.8,2.8,On-Time
RAK City Express,6.51,Monday,12.5,Low,Clear,None,36.2,4.3,On-Time
Al Hamra Link,6.25,Friday,14.9,Medium,Foggy,None,38.3,10.6,Late
RAK City Express,9.49,Friday,7.6,Medium,Dusty,None,28.5,12.7,Late
Al Hamra Link,4.61,Thursday,20.6,Low,Clear,None,36.5,4.5,On-Time
Grove Village Route,5.57,Sunday,11.2,Medium,Cloudy,None,36.5,7.1,Late
Al Hamra Link,8.29,Thursday,13.0,Medium,Clear,None,36.8,9.4,Late
RAK City Express,6.33,Wednesday,18.9,Medium,Clear,None,39.2,10.6,Late
Campus Loop,0.59,Tuesday,10.4,Medium,Clear,None,34.0,3.1,On-Time
Campus Loop,3.74,Sunday,20.8,Low,Clear,None,34.4,4.6,On-Time
RAK City Express,13.24,Friday,19.2,Medium,Rainy,None,24.7,19.1,Late
Al Hamra Link,4.57,Tuesday,8.1,High,Clear,None,34.0,12.4,Late
Campus Loop,1.89,Thursday,14.6,Low,Cloudy,None,31.2,3.7,On-Time
Campus Loop,2.57,Saturday,21.0,Medium,Dusty,None,27.7,8.4,Late
RAK City Express,11.5,Wednesday,7.7,Low,Cloudy,Career Fair,39.0,7.9,Late
Campus Loop,1.88,Monday,12.2,High,Dusty,None,29.7,12.5,Late
Al Hamra Link,4.14,Monday,10.4,Low,Clear,None,40.6,2.6,On-Time
Grove Village Route,6.41,Monday,15.9,Low,Cloudy,None,35.7,4.3,On-Time
Grove Village Route,3.59,Thursday,17.9,High,Clear,None,41.3,18.0,Late
Campus Loop,3.09,Sunday,18.3,Medium,Clear,None,33.4,9.1,Late
Campus Loop,0.79,Tuesday,16.1,Medium,Clear,None,28.6,2.3,On-Time
Campus Loop,2.83,Sunday,7.2,Low,Clear,None,24.4,1.6,On-Time
Al Hamra Link,7.62,Thursday,15.7,Medium,Clear,Career Fair,34.1,11.4,Late
Al Hamra Link,5.11,Tuesday,16.8,Medium,Clear,None,27.0,5.4,Late
Al Hamra Link,5.28,Saturday,14.8,Medium,Clear,None,41.8,3.2,On-Time
RAK City Express,5.99,Saturday,17.4,High,Clear,None,33.7,13.3,Late
Al Hamra Link,7.19,Tuesday,10.7,Low,Cloudy,None,36.6,5.7,Late
RAK City Express,13.56,Saturday,17.0,Medium,Clear,None,41.0,10.4,Late
Al Hamra Link,5.5,Monday,9.7,High,Dusty,None,25.6,18.2,Late
Grove Village Route,3.85,Monday,11.3,Medium,Foggy,None,39.6,13.3,Late
Grove Village Route,3.06,Friday,7.6,Medium,Clear,None,38.1,4.7,On-Time
Al Hamra Link,6.76,Friday,13.8,Medium,Clear,Career Fair,25.2,15.6,Late
Grove Village Route,6.81,Thursday,12.8,Medium,Cloudy,None,27.6,7.2,Late
Al Hamra Link,8.64,Monday,19.6,Medium,Cloudy,None,31.3,7.0,Late
RAK City Express,8.55,Saturday,21.2,Low,Clear,None,39.1,2.9,On-Time
Campus Loop,2.87,Wednesday,7.9,Medium,Cloudy,None,38.3,6.3,Late
Grove Village Route,2.22,Tuesday,8.0,High,Cloudy,None,40.7,17.1,Late
RAK City Express,13.43,Friday,10.7,Medium,Clear,None,27.8,7.9,Late
Grove Village Route,6.68,Tuesday,14.6,Low,Clear,None,29.4,5.5,Late
Campus Loop,3.63,Friday,9.1,High,Clear,None,29.3,14.6,Late
Al Hamra Link,5.56,Wednesday,10.3,Medium,Clear,None,26.8,5.7,Late
Grove Village Route,2.57,Monday,16.3,Low,Clear,None,34.0,2.4,On-Time
RAK City Express,9.81,Saturday,15.9,Low,Clear,None,25.0,4.4,On-Time
Grove Village Route,3.63,Saturday,20.6,Low,Clear,None,37.5,1.7,On-Time
RAK City Express,5.29,Friday,15.8,Medium,Cloudy,None,26.0,5.4,Late
Al Hamra Link,4.88,Saturday,9.4,High,Clear,None,26.9,19.5,Late
RAK City Express,14.67,Sunday,10.9,Low,Foggy,University Exam,33.2,24.5,Late
RAK City Express,9.03,Thursday,14.6,Low,Cloudy,None,33.9,4.3,On-Time
Al Hamra Link,5.96,Friday,18.1,Medium,Dusty,None,40.8,13.3,Late
Grove Village Route,3.41,Saturday,12.8,Medium,Dusty,None,41.2,13.8,Late
RAK City Express,5.35,Thursday,18.0,High,Clear,Open Day,41.6,21.6,Late
Al Hamra Link,7.75,Tuesday,18.6,High,Foggy,None,32.7,23.2,Late
Al Hamra Link,9.43,Sunday,16.3,Low,Clear,None,35.9,3.8,On-Time
Al Hamra Link,6.56,Saturday,19.9,Medium,Cloudy,None,38.5,7.0,Late
Campus Loop,3.61,Monday,16.1,Medium,Cloudy,Career Fair,39.9,11.5,Late
Grove Village Route,3.24,Tuesday,18.5,High,Cloudy,None,24.3,14.2,Late
Al Hamra Link,4.55,Friday,18.1,High,Clear,None,29.7,10.6,Late
Al Hamra Link,5.63,Monday,15.1,Medium,Clear,None,39.0,7.1,Late
RAK City Express,5.55,Saturday,21.3,Medium,Clear,Open Day,26.6,14.2,Late
Campus Loop,1.5,Monday,9.0,High,Clear,University Exam,27.6,22.7,Late
Al Hamra Link,7.52,Thursday,7.2,Medium,Dusty,None,27.6,7.6,Late
Grove Village Route,2.26,Monday,8.6,High,Clear,None,26.6,15.3,Late
RAK City Express,14.9,Sunday,17.5,High,Foggy,None,39.8,23.3,Late
Grove Village Route,5.92,Monday,17.1,High,Cloudy,None,41.0,10.4,Late
Al Hamra Link,7.07,Monday,12.1,Medium,Clear,None,33.1,8.8,Late
Campus Loop,0.68,Friday,17.2,High,Clear,None,24.4,11.8,Late
Campus Loop,2.5,Sunday,19.1,Medium,Cloudy,None,33.9,4.6,On-Time
Campus Loop,2.84,Tuesday,15.2,Medium,Clear,None,35.5,5.3,Late
Al Hamra Link,8.21,Sunday,10.4,Medium,Clear,Career Fair,34.9,7.5,Late
RAK City Express,7.1,Tuesday,13.2,Medium,Foggy,None,29.6,16.4,Late
Grove Village Route,6.52,Wednesday,17.4,Medium,Rainy,None,27.0,17.5,Late
Grove Village Route,4.47,Wednesday,17.5,High,Cloudy,University Exam,24.6,21.0,Late
Al Hamra Link,9.42,Thursday,7.3,Medium,Clear,Sports Match,24.1,15.4,Late
RAK City Express,11.08,Monday,14.2,Medium,Cloudy,Career Fair,27.6,16.5,Late
RAK City Express,9.34,Saturday,13.5,High,Clear,Open Day,37.1,23.0,Late
Al Hamra Link,5.78,Friday,21.8,Low,Clear,None,36.1,5.0,On-Time
RAK City Express,9.2,Monday,18.2,High,Cloudy,Career Fair,41.3,19.3,Late
Al Hamra Link,5.36,Thursday,19.1,Medium,Clear,None,25.0,5.4,Late
Al Hamra Link,4.54,Saturday,8.8,High,Clear,None,32.3,15.0,Late
Grove Village Route,4.66,Monday,9.6,High,Cloudy,None,36.4,15.1,Late
RAK City Express,7.71,Thursday,20.1,Low,Clear,None,28.6,2.7,On-Time
RAK City Express,9.91,Friday,18.2,High,Foggy,None,35.5,29.2,Late
RAK City Express,14.86,Monday,8.5,High,Cloudy,None,29.0,17.5,Late
Campus Loop,1.9,Wednesday,20.7,Medium,Clear,Open Day,33.8,8.8,Late
Al Hamra Link,8.62,Tuesday,10.4,Medium,Clear,None,32.2,10.6,Late
Al Hamra Link,4.91,Sunday,10.1,Medium,Clear,None,28.0,7.4,Late
Grove Village Route,3.22,Wednesday,15.9,Low,Clear,None,38.2,3.8,On-Time
RAK City Express,14.34,Monday,8.5,High,Clear,None,34.6,11.4,Late
Al Hamra Link,8.32,Saturday,12.1,High,Cloudy,Open Day,33.6,19.3,Late
Grove Village Route,3.45,Saturday,21.8,Low,Clear,None,32.3,2.7,On-Time
RAK City Express,7.31,Tuesday,8.2,Medium,Clear,None,27.1,10.8,Late
RAK City Express,8.23,Sunday,8.1,High,Clear,Career Fair,26.1,24.1,Late
Al Hamra Link,9.15,Wednesday,17.9,High,Clear,Sports Match,34.7,20.6,Late
Campus Loop,1.41,Saturday,12.7,High,Rainy,None,27.0,14.7,Late
Grove Village Route,4.73,Friday,20.5,Low,Clear,None,36.9,2.1,On-Time
RAK City Express,10.91,Tuesday,21.5,Low,Cloudy,None,24.5,4.6,On-Time
RAK City Express,12.38,Tuesday,13.3,Medium,Clear,None,40.7,7.3,Late
Al Hamra Link,9.51,Tuesday,8.3,High,Clear,None,25.3,18.3,Late
Campus Loop,0.81,Monday,13.8,Medium,Clear,None,26.8,6.2,Late
Campus Loop,1.23,Friday,17.3,Medium,Cloudy,None,41.6,7.5,Late
Al Hamra Link,9.69,Sunday,12.3,Medium,Clear,None,26.6,5.6,Late
Grove Village Route,5.26,Thursday,16.0,Low,Clear,None,31.4,4.2,On-Time
Al Hamra Link,5.97,Thursday,12.2,Medium,Cloudy,None,38.4,8.5,Late
Campus Loop,1.37,Thursday,13.1,Medium,Dusty,None,24.1,13.2,Late
RAK City Express,6.59,Wednesday,14.3,Medium,Clear,None,27.5,6.1,Late
Al Hamra Link,7.77,Tuesday,10.8,Medium,Cloudy,None,32.2,6.7,Late
RAK City Express,10.38,Friday,9.6,Medium,Foggy,Sports Match,25.9,22.2,Late
RAK City Express,5.35,Thursday,18.9,High,Cloudy,University Exam,24.9,24.9,Late
RAK City Express,8.55,Friday,15.8,Medium,Clear,Open Day,24.7,8.2,Late
Campus Loop,0.79,Saturday,17.4,High,Rainy,None,29.6,20.0,Late
Al Hamra Link,8.64,Thursday,19.8,Low,Cloudy,None,26.1,4.9,On-Time
RAK City Express,10.81,Sunday,11.5,Medium,Clear,None,26.8,11.2,Late
Grove Village Route,6.03,Saturday,20.6,Low,Clear,Sports Match,24.4,11.1,Late
Grove Village Route,6.37,Wednesday,8.9,Medium,Clear,University Exam,41.6,13.1,Late
Grove Village Route,5.3,Thursday,18.9,High,Rainy,None,25.8,24.0,Late
Al Hamra Link,9.44,Tuesday,17.5,High,Clear,None,33.4,18.8,Late
Campus Loop,1.19,Sunday,9.9,High,Clear,None,31.2,17.7,Late
Al Hamra Link,6.1,Friday,12.6,Medium,Clear,None,40.5,7.1,Late
Grove Village Route,5.62,Saturday,15.7,Medium,Clear,None,37.3,7.9,Late
Campus Loop,2.0,Friday,15.2,Low,Clear,None,32.4,3.2,On-Time
Grove Village Route,2.0,Tuesday,19.1,Medium,Clear,None,38.5,7.4,Late
Grove Village Route,4.57,Friday,12.2,Medium,Cloudy,None,26.7,8.3,Late
RAK City Express,5.91,Thursday,9.6,High,Clear,None,27.4,11.0,Late
Grove Village Route,3.27,Thursday,20.9,Low,Clear,Sports Match,29.1,11.8,Late
